PLAYER_ID,PLAYER_NAME,COUNTRY,PLAYER_HEIGHT,PLAYER_WEIGHT,COLLEGE,DRAFT_YEAR,DRAFT_NUMBER,POSITION
1630639,A.J. Lawson,Canada,6' 6'',179.0,South Carolina,Undrafted,Undrafted,Guard
1631260,AJ Green,USA,6' 4'',190.0,Northern Iowa,Undrafted,Undrafted,Guard
1642358,AJ Johnson,USA,6' 5'',160.0,,2024,23,Guard
203932,Aaron Gordon,USA,6' 8'',235.0,Arizona,2014,4,Forward
1628988,Aaron Holiday,USA,6' 0'',185.0,UCLA,2018,23,Guard
1630174,Aaron Nesmith,USA,6' 5'',215.0,Vanderbilt,2020,14,Guard-Forward
1630598,Aaron Wiggins,USA,6' 5'',190.0,Maryland,2021,55,Guard
1642846,Ace Bailey,USA,6' 9'',200.0,Rutgers,2025,5,Forward
1642380,Adama Bal,France,6' 7'',190.0,Santa Clara,Undrafted,Undrafted,Guard
1641737,Adem Bona,Nigeria,6' 10'',235.0,UCLA,2024,41,Forward
1642876,Adou Thiero,USA,6' 7'',220.0,Arkansas,2025,36,Guard
1642349,Ajay Mitchell,Belgium,6' 4'',190.0,California-Santa Barbara,2024,38,Guard
201143,Al Horford,Dominican Republic,6' 8'',240.0,Florida,2007,3,Center-Forward
1630828,Alex Antetokounmpo,Greece,6' 8'',214.0,,Undrafted,Undrafted,Forward
1627936,Alex Caruso,USA,6' 5'',186.0,Texas A&M,Undrafted,Undrafted,Guard
1631457,Alex Morales,USA,6' 6'',210.0,Wagner,Undrafted,Undrafted,Guard
1642259,Alex Sarr,France,7' 0'',205.0,,2024,2,Center
1642918,Alijah Martin,USA,6' 2'',210.0,Florida,2025,39,Guard
1631214,Alondes Williams,USA,6' 4'',210.0,Wake Forest,Undrafted,Undrafted,Guard
1630578,Alperen Sengun,Turkey,6' 11'',243.0,,2021,16,Center
1642873,Amari Williams,United Kingdom,6' 11'',250.0,Kentucky,2025,46,Forward-Center
1641708,Amen Thompson,USA,6' 7'',200.0,,2023,4,Guard-Forward
1629599,Amir Coffey,USA,6' 7'',210.0,Minnesota,Undrafted,Undrafted,Guard-Forward
1643158,Andersson Garcia,Dominican Republic,6' 7'',220.0,Texas A&M,Undrafted,Undrafted,Forward
203083,Andre Drummond,USA,6' 11'',279.0,Connecticut,2012,9,Center
1641748,Andre Jackson Jr.,USA,6' 6'',209.0,Connecticut,2023,36,Guard
1629614,Andrew Nembhard,Canada,6' 4'',191.0,Gonzaga,2022,31,Guard-Forward
203952,Andrew Wiggins,Canada,6' 6'',197.0,Kansas,2014,1,Forward
1629014,Anfernee Simons,USA,6' 3'',200.0,,2018,24,Guard
1641710,Anthony Black,USA,6' 7'',200.0,Arkansas,2023,6,Guard
203076,Anthony Davis,USA,6' 10'',253.0,Kentucky,2012,1,Forward-Center
1630162,Anthony Edwards,USA,6' 4'',225.0,Georgia,2020,1,Guard
1630264,Anthony Gill,USA,6' 7'',230.0,Virginia,Undrafted,Undrafted,Forward
1641810,Antonio Reeves,USA,6' 5'',205.0,Kentucky,2024,47,Guard
1630574,Ariel Hukporti,Germany,7' 0'',246.0,,2024,58,Center
1642854,Asa Newell,USA,6' 10'',220.0,Georgia,2025,23,Forward
1641709,Ausar Thompson,USA,6' 7'',205.0,,2023,5,Guard-Forward
1630559,Austin Reaves,USA,6' 5'',197.0,Oklahoma,Undrafted,Undrafted,Guard
1630245,Ayo Dosunmu,USA,6' 4'',201.0,Illinois,2021,38,Guard
1628389,Bam Adebayo,USA,6' 9'',255.0,Kentucky,2017,14,Center-Forward
1631248,Baylor Scheierman,USA,6' 6'',205.0,Creighton,2024,30,Guard
1642879,Ben Saraf,Israel,6' 6'',200.0,,2025,26,Guard
1641767,Ben Sheppard,USA,6' 6'',190.0,Belmont,2023,26,Guard
1631097,Bennedict Mathurin,Canada,6' 5'',210.0,Arizona,2022,6,Guard-Forward
1643016,Bez Mbeng,USA,6' 4'',185.0,Yale,Undrafted,Undrafted,Guard
1641731,Bilal Coulibaly,France,6' 7'',195.0,,2023,7,Guard
202687,Bismack Biyombo,DRC,6' 8'',255.0,,2011,7,Center
1642396,Blake Hinson,USA,6' 8'',230.0,Pittsburgh,Undrafted,Undrafted,Forward
1631104,Blake Wesley,USA,6' 4'',190.0,Notre Dame,2022,25,Guard
1626171,Bobby Portis,USA,6' 9'',250.0,Arkansas,2015,22,Forward
1641752,Bobi Klintman,Sweden,6' 9'',225.0,,2024,37,Forward
203992,Bogdan Bogdanović,Serbia,6' 5'',225.0,,2014,27,Guard
1630538,Bones Hyland,USA,6' 2'',169.0,Virginia Commonwealth,2021,26,Guard
203078,Bradley Beal,USA,6' 4'',207.0,Florida,2012,3,Guard
1642382,Branden Carlson,USA,7' 0'',220.0,Utah,Undrafted,Undrafted,Center
1641764,Brandin Podziemski,USA,6' 4'',205.0,Santa Clara,2023,19,Guard
1629634,Brandon Clarke,Canada,6' 8'',215.0,Gonzaga,2019,21,Forward
1627742,Brandon Ingram,USA,6' 8'',190.0,Duke,2016,2,Forward
1641706,Brandon Miller,USA,6' 7'',200.0,Alabama,2023,2,Forward
1630314,Brandon Williams,USA,6' 1'',190.0,Arizona,Undrafted,Undrafted,Guard
1641729,Brice Sensabaugh,USA,6' 6'',235.0,Ohio State,2023,28,Forward
1642355,Bronny James,USA,6' 2'',210.0,Southern California,2024,55,Guard
201572,Brook Lopez,USA,7' 1'',282.0,Stanford,2008,10,Center
1642964,Brooks Barnhizer,USA,6' 5'',230.0,Northwestern,2025,44,Guard
1628971,Bruce Brown,USA,6' 4'',202.0,Miami,2018,42,Guard-Forward
1631121,Bryce McGowens,USA,6' 6'',190.0,Nebraska,2022,40,Guard
1642267,Bub Carrington,USA,6' 4'',190.0,Pittsburgh,2024,14,Guard
1631205,Buddy Boeheim,USA,6' 5'',205.0,Syracuse,Undrafted,Undrafted,Forward
1627741,Buddy Hield,Bahamas,6' 4'',220.0,Oklahoma,2016,6,Guard
1643047,CJ Huntley,USA,6' 11'',230.0,Appalachian State,Undrafted,Undrafted,Forward
203468,CJ McCollum,USA,6' 3'',190.0,Lehigh,2013,10,Guard
1630595,Cade Cunningham,USA,6' 6'',220.0,Oklahoma State,2021,1,Guard
1631216,Caleb Houstan,Canada,6' 8'',205.0,Michigan,2022,32,Guard
1631126,Caleb Love,USA,6' 3'',212.0,Arizona,Undrafted,Undrafted,Guard
1628997,Caleb Martin,USA,6' 5'',205.0,Nevada,Undrafted,Undrafted,Forward
1642353,Cam Christie,USA,6' 5'',190.0,Minnesota,2024,46,Guard
1642285,Cam Spencer,USA,6' 3'',205.0,Connecticut,2024,53,Guard
1630560,Cam Thomas,Japan,6' 3'',210.0,Louisiana State,2021,27,Guard
1641715,Cam Whitmore,USA,6' 6'',230.0,Villanova,2023,20,Forward
1629661,Cameron Johnson,USA,6' 8'',210.0,North Carolina,2019,11,Forward
1626166,Cameron Payne,USA,6' 2'',183.0,Murray State,2015,14,Guard
